Time,Outer_Coil_Voltage,Resistance
0.000000E+0,-3.379749E-4,8.652690E-1
8.700000E-1,-3.379250E-4,8.638930E-1
1.741000E+0,-3.380965E-4,8.643870E-1
2.612000E+0,-3.380834E-4,8.655530E-1
3.483000E+0,-3.383612E-4,8.656370E-1
4.354000E+0,-3.385413E-4,8.663400E-1
5.225000E+0,-3.152020E-4,8.653950E-1
6.096000E+0,-2.806433E-4,8.640610E-1
6.967000E+0,1.682872E-2,8.617930E-1
7.884000E+0,3.522203E-2,8.611940E-1
8.754000E+0,5.356386E-2,8.617300E-1
9.625000E+0,7.186573E-2,8.637040E-1
1.049500E+1,9.013684E-2,8.692180E-1
1.136600E+1,1.083831E-1,8.775150E-1
1.223600E+1,1.695678E-1,9.620350E-1
1.317300E+1,1.990509E-1,1.012675E+0
1.404400E+1,2.238737E-1,1.070478E+0
1.491500E+1,2.486637E-1,1.125151E+0
1.578600E+1,2.734270E-1,1.176433E+0
1.665700E+1,2.981784E-1,1.219365E+0
1.752700E+1,3.228979E-1,1.256804E+0
1.839800E+1,3.476086E-1,1.285139E+0
1.926900E+1,3.722842E-1,1.303307E+0
2.013900E+1,3.969456E-1,1.318745E+0
2.101000E+1,4.215871E-1,1.331799E+0
2.188100E+1,4.462111E-1,1.340285E+0
2.275100E+1,4.708108E-1,1.348802E+0
2.362200E+1,4.953847E-1,1.356794E+0
2.449200E+1,5.199480E-1,1.364030E+0
2.536300E+1,5.444850E-1,1.371759E+0
2.623300E+1,5.690092E-1,1.379026E+0
2.710400E+1,5.935057E-1,1.385485E+0
2.797400E+1,6.179859E-1,1.392301E+0
2.884500E+1,6.424483E-1,1.398634E+0
2.971500E+1,6.668842E-1,1.411782E+0
3.058700E+1,6.912995E-1,1.440264E+0
3.145800E+1,7.156984E-1,1.501028E+0
3.232800E+1,7.400664E-1,1.633059E+0
3.319900E+1,7.644110E-1,1.925004E+0
3.407000E+1,7.887311E-1,2.413359E+0
3.494000E+1,8.130185E-1,2.976066E+0
3.581100E+1,8.372735E-1,3.450871E+0
3.668200E+1,8.614991E-1,3.750713E+0
3.755300E+1,8.856886E-1,3.929299E+0
3.842400E+1,9.098212E-1,4.008306E+0
3.929500E+1,9.339364E-1,4.083847E+0
4.016500E+1,9.580289E-1,4.189875E+0
4.103600E+1,9.820819E-1,4.304003E+0
4.190700E+1,1.006076E+0,4.405515E+0
4.277800E+1,1.030024E+0,4.507090E+0
4.364800E+1,1.053920E+0,4.602186E+0
4.451800E+1,1.077764E+0,4.688817E+0
4.538900E+1,1.101571E+0,4.767666E+0
4.625900E+1,1.125315E+0,4.842377E+0
4.713000E+1,1.149017E+0,4.910493E+0
4.800100E+1,1.172647E+0,4.972454E+0
4.887100E+1,1.196229E+0,5.029858E+0
4.974200E+1,1.221094E+0,5.082988E+0
5.065900E+1,1.244574E+0,5.129007E+0
5.153000E+1,1.267985E+0,5.169724E+0
5.240100E+1,1.291327E+0,5.204653E+0
5.327200E+1,1.314598E+0,5.240434E+0
5.414300E+1,1.337800E+0,5.272496E+0
5.501400E+1,1.360912E+0,5.300967E+0
5.588500E+1,1.383945E+0,5.329070E+0
5.675600E+1,1.406863E+0,5.354359E+0
5.762600E+1,1.422874E+0,5.358297E+0
5.849700E+1,1.422085E+0,5.358035E+0
5.936800E+1,1.421290E+0,5.356333E+0
6.023800E+1,1.420519E+0,5.353981E+0
6.110900E+1,1.419768E+0,5.354937E+0
6.198000E+1,1.419040E+0,5.354727E+0
6.285100E+1,1.418314E+0,5.352658E+0
6.372100E+1,1.417583E+0,5.351566E+0
6.459200E+1,1.416878E+0,5.350683E+0
6.546400E+1,1.416200E+0,5.348457E+0
6.633400E+1,1.415483E+0,5.347417E+0
6.720500E+1,1.414809E+0,5.346178E+0
6.807600E+1,1.414081E+0,5.343122E+0
6.894600E+1,1.413369E+0,5.342712E+0
6.981700E+1,1.412686E+0,5.344750E+0
7.068800E+1,1.411967E+0,5.343952E+0
7.155900E+1,1.411292E+0,5.343584E+0
7.243000E+1,1.410607E+0,5.344697E+0
7.330100E+1,1.409968E+0,5.343479E+0
7.417100E+1,1.409308E+0,5.344330E+0
7.504200E+1,1.408655E+0,5.344508E+0
7.591300E+1,1.407973E+0,5.342702E+0
7.678400E+1,1.407367E+0,5.342796E+0
7.765500E+1,1.406710E+0,5.343290E+0
7.852600E+1,1.406089E+0,5.341473E+0
7.939700E+1,1.405451E+0,5.341127E+0
8.026800E+1,1.404847E+0,5.341841E+0
8.113900E+1,1.404211E+0,5.339530E+0
8.201000E+1,1.403559E+0,5.339961E+0
8.288200E+1,1.402930E+0,5.339856E+0
8.375200E+1,1.402301E+0,5.338638E+0
8.462300E+1,1.401680E+0,5.338480E+0
8.549400E+1,1.401063E+0,5.338995E+0
8.636400E+1,1.400368E+0,5.337829E+0
8.723500E+1,1.399728E+0,5.337346E+0
8.810500E+1,1.399099E+0,5.337608E+0
8.897600E+1,1.398438E+0,5.336180E+0
8.984700E+1,1.397775E+0,5.335739E+0
9.071800E+1,1.397117E+0,5.335613E+0
9.158800E+1,1.396382E+0,5.334794E+0
9.245900E+1,1.395736E+0,5.334122E+0
9.332900E+1,1.395067E+0,5.334531E+0
9.420000E+1,1.394225E+0,5.321656E+0
9.507100E+1,1.370191E+0,5.291988E+0
9.594100E+1,1.344234E+0,5.259579E+0
9.681200E+1,1.318459E+0,5.223630E+0
9.768300E+1,1.292835E+0,5.183397E+0
9.855400E+1,1.267341E+0,5.140854E+0
9.942500E+1,1.241965E+0,5.092503E+0
1.002970E+2,1.216675E+0,5.039299E+0
1.011680E+2,1.191493E+0,4.981959E+0
1.020400E+2,1.166376E+0,4.916993E+0
1.029110E+2,1.141342E+0,4.849214E+0
1.037820E+2,1.116382E+0,4.774145E+0
1.046530E+2,1.091483E+0,4.691883E+0
1.055240E+2,1.066639E+0,4.604055E+0
1.063950E+2,1.041849E+0,4.510325E+0
1.072660E+2,1.017106E+0,4.406765E+0
1.081360E+2,9.910417E-1,4.288943E+0
1.090540E+2,9.664069E-1,4.167579E+0
1.099240E+2,9.417940E-1,4.031683E+0
1.107950E+2,9.172308E-1,3.946229E+0
1.116660E+2,8.926607E-1,3.814124E+0
1.125370E+2,8.681274E-1,3.597479E+0
1.134080E+2,8.436239E-1,3.246649E+0
1.142790E+2,8.191440E-1,2.761689E+0
1.151490E+2,7.946922E-1,2.260324E+0
1.160200E+2,7.702603E-1,1.858967E+0
1.168910E+2,7.458446E-1,1.616676E+0
1.177630E+2,7.214460E-1,1.500492E+0
1.186340E+2,6.970714E-1,1.450125E+0
1.195050E+2,6.727123E-1,1.426485E+0
1.203760E+2,6.483586E-1,1.413231E+0
1.212470E+2,6.240012E-1,1.404515E+0
1.221170E+2,5.996588E-1,1.395073E+0
1.229880E+2,5.753229E-1,1.387701E+0
1.238590E+2,5.509948E-1,1.379888E+0
1.247290E+2,5.266617E-1,1.370761E+0
1.256000E+2,5.023318E-1,1.363946E+0
1.264700E+2,4.780071E-1,1.355166E+0
1.273410E+2,4.536760E-1,1.344695E+0
1.282120E+2,4.293390E-1,1.336262E+0
1.290820E+2,4.049975E-1,1.323208E+0
1.299530E+2,3.806605E-1,1.302005E+0
1.308240E+2,3.563130E-1,1.265899E+0
1.316950E+2,3.319664E-1,1.183427E+0
1.325650E+2,3.076071E-1,1.067264E+0
1.334360E+2,2.832524E-1,9.755930E-1
1.343070E+2,2.588910E-1,9.189030E-1
1.351780E+2,2.345280E-1,8.887310E-1
1.360490E+2,2.101516E-1,8.733660E-1
1.369200E+2,1.857682E-1,8.686190E-1
1.377910E+2,1.613753E-1,8.660150E-1
1.386610E+2,1.369799E-1,8.638930E-1
1.395320E+2,1.125713E-1,8.606270E-1
1.404030E+2,6.461532E-2,8.542420E-1
1.413390E+2,4.542450E-2,8.537380E-1
1.422100E+2,2.741457E-2,8.569620E-1
1.430810E+2,6.771585E-3,8.614250E-1
