Time,Outer_Coil_Voltage,Outer_Coil_STDV,Inner_Coil_Voltage,Inner_Coil_STDV
0.000000E+0,-3.488146E-4,NaN,-5.504000E-6,NaN
9.660000E-1,-3.486757E-4,NaN,-5.358000E-6,NaN
1.837000E+0,-3.487538E-4,NaN,-5.546000E-6,NaN
2.708000E+0,-3.487386E-4,NaN,-5.420000E-6,NaN
3.580000E+0,-3.486062E-4,NaN,-5.890000E-6,NaN
4.451000E+0,-3.020946E-4,NaN,-1.286600E-5,NaN
5.323000E+0,9.008198E-3,NaN,-2.039600E-5,NaN
6.194000E+0,2.861792E-2,NaN,-2.064700E-5,NaN
7.112000E+0,4.715280E-2,NaN,-2.082500E-5,NaN
7.983000E+0,6.564438E-2,NaN,-2.039600E-5,NaN
8.854000E+0,8.409448E-2,NaN,-2.066800E-5,NaN
9.726000E+0,1.025150E-1,NaN,-2.071000E-5,NaN
1.059700E+1,1.642595E-1,NaN,-2.606700E-5,NaN
1.159400E+1,1.941323E-1,NaN,-2.629700E-5,NaN
1.246500E+1,2.192692E-1,NaN,-2.620300E-5,NaN
1.333600E+1,2.443713E-1,NaN,-2.618200E-5,NaN
1.420700E+1,2.694423E-1,NaN,-2.626600E-5,NaN
1.507800E+1,2.944827E-1,NaN,-2.678800E-5,NaN
1.594900E+1,3.194897E-1,NaN,-2.646400E-5,NaN
1.682000E+1,3.444690E-1,NaN,-2.627600E-5,NaN
1.769100E+1,3.694271E-1,NaN,-2.637000E-5,NaN
1.856200E+1,3.943558E-1,NaN,-2.627600E-5,NaN
1.943300E+1,4.192598E-1,NaN,-2.640100E-5,NaN
2.030400E+1,4.441352E-1,NaN,-2.643300E-5,NaN
2.117500E+1,4.689766E-1,NaN,-2.620300E-5,NaN
2.204600E+1,4.937908E-1,NaN,-2.666200E-5,NaN
2.291700E+1,5.185818E-1,NaN,-2.665200E-5,NaN
2.378900E+1,5.433446E-1,NaN,-2.625500E-5,NaN
2.466000E+1,5.680671E-1,NaN,-2.642200E-5,NaN
2.553100E+1,5.927740E-1,NaN,-2.641200E-5,NaN
2.640200E+1,6.174576E-1,NaN,-2.655800E-5,NaN
2.727400E+1,6.421259E-1,NaN,-2.658900E-5,NaN
2.814500E+1,6.667715E-1,NaN,-2.689200E-5,NaN
2.901600E+1,6.914276E-1,NaN,-2.650600E-5,NaN
2.988800E+1,7.161087E-1,NaN,-2.656800E-5,NaN
3.075900E+1,7.407816E-1,NaN,-2.675600E-5,NaN
3.163000E+1,7.654229E-1,NaN,-2.675600E-5,NaN
3.250100E+1,7.900483E-1,NaN,-2.679800E-5,NaN
3.337300E+1,8.146601E-1,NaN,-2.691300E-5,NaN
3.424400E+1,8.392540E-1,NaN,-2.686100E-5,NaN
3.511500E+1,8.638379E-1,NaN,-2.649500E-5,NaN
3.598700E+1,8.884025E-1,NaN,-2.641200E-5,NaN
3.685800E+1,9.129590E-1,NaN,-2.633900E-5,NaN
3.773000E+1,9.374998E-1,NaN,-2.608800E-5,NaN
3.860100E+1,9.620172E-1,NaN,-2.507500E-5,NaN
3.947200E+1,9.864959E-1,NaN,-2.465700E-5,NaN
4.034300E+1,1.010962E+0,NaN,-2.272500E-5,NaN
4.121400E+1,1.035426E+0,NaN,-1.965500E-5,NaN
4.208500E+1,1.059893E+0,NaN,-1.242800E-5,NaN
4.295700E+1,1.084311E+0,NaN,1.389000E-6,NaN
4.382800E+1,1.108692E+0,NaN,2.052200E-5,NaN
4.469900E+1,1.133052E+0,NaN,2.842700E-5,NaN
4.557000E+1,1.157396E+0,NaN,2.419800E-5,NaN
4.644100E+1,1.181716E+0,NaN,1.787900E-5,NaN
4.731200E+1,1.207403E+0,NaN,1.351400E-5,NaN
4.823000E+1,1.231701E+0,NaN,1.038100E-5,NaN
4.910200E+1,1.255960E+0,NaN,8.021000E-6,NaN
4.997300E+1,1.280189E+0,NaN,5.660000E-6,NaN
5.084400E+1,1.304409E+0,NaN,4.606000E-6,NaN
5.171600E+1,1.328584E+0,NaN,3.436000E-6,NaN
5.258700E+1,1.352729E+0,NaN,2.726000E-6,NaN
5.345900E+1,1.376834E+0,NaN,2.444000E-6,NaN
5.433000E+1,1.400877E+0,NaN,1.232000E-6,NaN
5.520100E+1,1.424897E+0,NaN,1.065000E-6,NaN
5.607200E+1,1.448857E+0,NaN,-7.749000E-6,NaN
5.694400E+1,1.456483E+0,NaN,-8.125000E-6,NaN
5.781500E+1,1.456447E+0,NaN,-7.874000E-6,NaN
5.868600E+1,1.456431E+0,NaN,-8.271000E-6,NaN
5.955800E+1,1.456463E+0,NaN,-8.146000E-6,NaN
6.042900E+1,1.456514E+0,NaN,-8.198000E-6,NaN
6.130000E+1,1.456543E+0,NaN,-8.240000E-6,NaN
6.217200E+1,1.456551E+0,NaN,-8.230000E-6,NaN
6.304300E+1,1.456531E+0,NaN,-8.219000E-6,NaN
6.391400E+1,1.456535E+0,NaN,-8.313000E-6,NaN
6.478500E+1,1.456548E+0,NaN,-8.522000E-6,NaN
6.565600E+1,1.453140E+0,NaN,4.480000E-6,NaN
6.652700E+1,1.426238E+0,NaN,-3.875000E-6,NaN
6.739900E+1,1.399492E+0,NaN,-8.606000E-6,NaN
6.827000E+1,1.372909E+0,NaN,-1.027600E-5,NaN
6.914100E+1,1.346446E+0,NaN,-1.101800E-5,NaN
7.001200E+1,1.320066E+0,NaN,-1.080900E-5,NaN
7.088400E+1,1.293756E+0,NaN,-1.040200E-5,NaN
7.175500E+1,1.267502E+0,NaN,-9.535000E-6,NaN
7.262600E+1,1.241308E+0,NaN,-8.877000E-6,NaN
7.349700E+1,1.215160E+0,NaN,-7.613000E-6,NaN
7.436900E+1,1.189045E+0,NaN,-6.454000E-6,NaN
7.524000E+1,1.162958E+0,NaN,-4.992000E-6,NaN
7.611100E+1,1.136893E+0,NaN,-3.781000E-6,NaN
7.698300E+1,1.110862E+0,NaN,-2.914000E-6,NaN
7.785400E+1,1.084851E+0,NaN,-1.598000E-6,NaN
7.872600E+1,1.058860E+0,NaN,-4.180000E-7,NaN
7.959800E+1,1.032886E+0,NaN,1.399000E-6,NaN
8.047000E+1,1.006962E+0,NaN,2.956000E-6,NaN
8.134100E+1,9.795677E-1,NaN,3.927000E-6,NaN
8.225900E+1,9.536634E-1,NaN,3.989000E-6,NaN
8.313000E+1,9.277696E-1,NaN,5.159000E-6,NaN
8.400200E+1,9.019001E-1,NaN,5.723000E-6,NaN
8.487300E+1,8.760397E-1,NaN,6.757000E-6,NaN
8.574400E+1,8.501908E-1,NaN,6.924000E-6,NaN
8.661500E+1,8.243585E-1,NaN,7.018000E-6,NaN
8.748600E+1,7.985292E-1,NaN,7.039000E-6,NaN
8.835700E+1,7.727088E-1,NaN,7.227000E-6,NaN
8.922900E+1,7.469012E-1,NaN,7.645000E-6,NaN
9.010000E+1,7.211071E-1,NaN,6.475000E-6,NaN
9.097100E+1,6.953274E-1,NaN,7.728000E-6,NaN
9.184200E+1,6.695555E-1,NaN,5.754000E-6,NaN
9.271300E+1,6.437880E-1,NaN,7.457000E-6,NaN
9.358500E+1,6.180371E-1,NaN,6.903000E-6,NaN
9.445600E+1,5.922852E-1,NaN,5.796000E-6,NaN
9.532700E+1,5.665488E-1,NaN,5.441000E-6,NaN
9.619900E+1,5.408160E-1,NaN,8.156000E-6,NaN
9.707100E+1,5.150918E-1,NaN,4.835000E-6,NaN
9.794200E+1,4.893833E-1,NaN,5.368000E-6,NaN
9.881300E+1,4.636685E-1,NaN,3.175000E-6,NaN
9.968500E+1,4.379665E-1,NaN,2.360000E-6,NaN
1.005560E+2,4.122764E-1,NaN,6.245000E-6,NaN
1.014270E+2,3.865999E-1,NaN,-1.150000E-7,NaN
1.022990E+2,3.609201E-1,NaN,1.671000E-6,NaN
1.031700E+2,3.352575E-1,NaN,3.175000E-6,NaN
1.040410E+2,3.095989E-1,NaN,3.593000E-6,NaN
1.049130E+2,2.839520E-1,NaN,1.828000E-6,NaN
1.057840E+2,2.583226E-1,NaN,8.950000E-6,NaN
1.066550E+2,2.326942E-1,NaN,2.433000E-6,NaN
1.075260E+2,2.070816E-1,NaN,5.723000E-6,NaN
1.083970E+2,1.814807E-1,NaN,3.467000E-6,NaN
1.092680E+2,1.558811E-1,NaN,4.200000E-8,NaN
1.101390E+2,1.302907E-1,NaN,1.780000E-7,NaN
1.110110E+2,1.047094E-1,NaN,-1.040000E-7,NaN
1.118820E+2,5.722538E-2,NaN,1.514000E-6,NaN
1.128190E+2,3.741850E-2,NaN,2.882000E-6,NaN
1.136900E+2,1.877233E-2,NaN,2.893000E-6,NaN
1.145630E+2,2.694170E-5,NaN,-9.274000E-6,NaN
1.154810E+2,-2.638012E-4,NaN,-9.316000E-6,NaN
1.163520E+2,-3.100676E-4,NaN,-9.295000E-6,NaN
1.172260E+2,-3.132077E-4,NaN,-9.535000E-6,NaN
1.181010E+2,-3.179385E-4,NaN,-9.504000E-6,NaN
1.189720E+2,-3.213173E-4,NaN,-9.598000E-6,NaN
1.198440E+2,-3.241363E-4,NaN,-9.577000E-6,NaN
1.207150E+2,-3.264062E-4,NaN,-9.274000E-6,NaN
1.215860E+2,-3.279947E-4,NaN,-9.796000E-6,NaN
1.224570E+2,-3.296678E-4,NaN,-9.420000E-6,NaN
1.233290E+2,-3.310806E-4,NaN,-9.441000E-6,NaN
1.242000E+2,-3.321287E-4,NaN,-9.504000E-6,NaN
1.250710E+2,-3.331964E-4,NaN,-9.535000E-6,NaN
1.259420E+2,-3.339190E-4,NaN,-9.765000E-6,NaN
1.268140E+2,-3.347849E-4,NaN,-9.201000E-6,NaN
