Gauge Reading,Carbon_Resistance,Carbon_STDV,Sample_Resistance,Sample_STDV,Gauge Number
4.105000E+0,1.702290E+3,1.403942E-1,5.934093E+0,9.331792E-5,2.000000E+0
4.090000E+0,1.712123E+3,8.980009E-2,5.933965E+0,9.539835E-5,2.000000E+0
4.050000E+0,1.743313E+3,9.174215E-2,5.933551E+0,2.389930E-4,2.000000E+0
4.040000E+0,1.751721E+3,9.175329E-2,5.933517E+0,1.532373E-4,2.000000E+0
4.020000E+0,1.766950E+3,9.672923E-2,5.933337E+0,9.287530E-5,2.000000E+0
4.000000E+0,1.784001E+3,2.264393E-1,5.932921E+0,1.829058E-4,2.000000E+0
3.980000E+0,1.801216E+3,2.923785E-1,5.932532E+0,1.246582E-4,2.000000E+0
3.960000E+0,1.817461E+3,1.229707E-1,5.932097E+0,1.330562E-4,2.000000E+0
3.940000E+0,1.836972E+3,1.999996E-1,5.931581E+0,1.212445E-4,2.000000E+0
3.920000E+0,1.855803E+3,2.212109E-1,5.930542E+0,1.632430E-4,2.000000E+0
3.900000E+0,1.872334E+3,4.456107E-1,5.928555E+0,2.184151E-4,2.000000E+0
3.900000E+0,1.876223E+3,2.714999E-1,5.928165E+0,1.763732E-4,2.000000E+0
3.890000E+0,1.885147E+3,1.186566E-1,5.925961E+0,1.030836E-4,2.000000E+0
3.880000E+0,1.894884E+3,2.634582E-1,5.921955E+0,1.350029E-4,2.000000E+0
3.870000E+0,1.904549E+3,1.767550E-1,5.913235E+0,2.096145E-4,2.000000E+0
3.860000E+0,1.915056E+3,3.599656E-1,5.885803E+0,8.167705E-4,2.000000E+0
3.850000E+0,1.923016E+3,5.672787E-1,5.817884E+0,2.360454E-3,2.000000E+0
3.840000E+0,1.936011E+3,3.893309E-1,5.584221E+0,9.740804E-3,2.000000E+0
3.830000E+0,1.944566E+3,1.569871E-1,5.064781E+0,6.726956E-3,2.000000E+0
3.820000E+0,1.958658E+3,2.702538E-1,2.929866E+0,7.205327E-2,2.000000E+0
3.810000E+0,1.964852E+3,1.912273E-1,1.885738E+0,2.735712E-2,2.000000E+0
3.800000E+0,1.975363E+3,1.939954E-1,1.729323E+0,4.080523E-3,2.000000E+0
3.792000E+0,1.982354E+3,3.483683E-1,1.732582E+0,3.322109E-3,2.000000E+0
3.790000E+0,1.984988E+3,5.078410E-1,1.731059E+0,9.911461E-4,2.000000E+0
3.780000E+0,1.997588E+3,1.930338E-1,1.726513E+0,3.055535E-4,2.000000E+0
3.770000E+0,2.006191E+3,1.596957E-1,1.723796E+0,2.545786E-4,2.000000E+0
3.760000E+0,2.021359E+3,2.881821E-1,1.719276E+0,4.898236E-4,2.000000E+0
3.760000E+0,2.025694E+3,1.231689E+0,1.718732E+0,1.046028E-3,2.000000E+0
3.750000E+0,2.030631E+3,1.967679E-1,1.717232E+0,6.336232E-4,2.000000E+0
3.744000E+0,2.035611E+3,2.597444E-1,1.716324E+0,1.066494E-3,2.000000E+0
3.740000E+0,2.042006E+3,3.888216E-1,1.714641E+0,2.972684E-4,2.000000E+0
3.734000E+0,2.044698E+3,2.922473E-1,1.713685E+0,2.678490E-4,2.000000E+0
3.730000E+0,2.048922E+3,2.903768E-1,1.712681E+0,1.844182E-4,2.000000E+0
3.725000E+0,2.058694E+3,4.645540E-1,1.710005E+0,1.700304E-4,2.000000E+0
3.720000E+0,2.062826E+3,2.141230E-1,1.708754E+0,1.695458E-4,2.000000E+0
3.718000E+0,2.064832E+3,5.037266E-1,1.708094E+0,2.923423E-4,2.000000E+0
3.710000E+0,2.075322E+3,4.954366E-1,1.705626E+0,1.424164E-4,2.000000E+0
3.700000E+0,2.087398E+3,2.152376E-1,1.702147E+0,1.203201E-4,2.000000E+0
3.690000E+0,2.103275E+3,3.798377E-2,1.703991E+0,2.074047E-4,2.000000E+0
3.680000E+0,2.116072E+3,7.583784E-2,1.700981E+0,1.727047E-4,2.000000E+0
3.660000E+0,2.133770E+3,3.743267E-1,1.693669E+0,1.814889E-3,2.000000E+0
3.650000E+0,2.141866E+3,8.003756E-2,1.670589E+0,1.054232E-2,2.000000E+0
3.640000E+0,2.153166E+3,1.511860E-1,1.580097E+0,1.779413E-3,2.000000E+0
3.635000E+0,2.158164E+3,1.068813E-1,1.575999E+0,2.001775E-3,2.000000E+0
3.630000E+0,2.162927E+3,3.211698E-1,1.569352E+0,2.975398E-3,2.000000E+0
3.620000E+0,2.175472E+3,3.731703E-1,1.547446E+0,8.051912E-4,2.000000E+0
3.610000E+0,2.185045E+3,4.585278E-1,1.532977E+0,8.554244E-4,2.000000E+0
3.600000E+0,2.193181E+3,4.424050E-1,1.515567E+0,2.086593E-3,2.000000E+0
3.590000E+0,2.194357E+3,8.196475E-1,1.521992E+0,2.234016E-3,2.000000E+0
3.580000E+0,2.201546E+3,5.770384E-1,1.476989E+0,4.867896E-3,2.000000E+0
3.570000E+0,2.214116E+3,4.859934E-1,1.419919E+0,5.618890E-3,2.000000E+0
3.560000E+0,2.219294E+3,6.584947E-1,1.425746E+0,5.347380E-3,2.000000E+0
3.550000E+0,2.228255E+3,1.083223E+0,1.357379E+0,1.164942E-2,2.000000E+0
3.530000E+0,2.246860E+3,2.495650E-1,1.221817E+0,3.194133E-3,2.000000E+0
3.510000E+0,2.256459E+3,9.594442E-1,1.133655E+0,4.655899E-3,2.000000E+0
3.490000E+0,2.301525E+3,2.473280E-1,1.083670E+0,1.673111E-4,2.000000E+0
3.470000E+0,2.302747E+3,2.856050E-1,1.083650E+0,1.488518E-4,2.000000E+0
3.460000E+0,2.304093E+3,1.699897E+0,1.081697E+0,8.689237E-4,2.000000E+0
3.440000E+0,2.330588E+3,1.216103E-1,1.076167E+0,4.370815E-4,2.000000E+0
3.400000E+0,2.381846E+3,1.868395E+0,1.063119E+0,3.964874E-4,2.000000E+0
3.370000E+0,2.424336E+3,2.168584E+0,1.057334E+0,2.401916E-4,2.000000E+0
3.330000E+0,2.475881E+3,1.912097E+0,1.051492E+0,2.704095E-4,2.000000E+0
3.330000E+0,2.515987E+3,2.430405E+0,1.047369E+0,3.329242E-4,2.000000E+0
3.250000E+0,2.603981E+3,6.303559E+0,1.040427E+0,4.542968E-4,2.000000E+0
3.200000E+0,2.674593E+3,3.035219E+0,1.035242E+0,2.801039E-4,2.000000E+0
3.110000E+0,2.850626E+3,7.695232E+0,1.024945E+0,5.035037E-4,2.000000E+0
3.700000E+0,2.921731E+3,4.120074E+0,1.023127E+0,2.872073E-4,2.000000E+0
3.050000E+0,2.884966E+3,4.173758E+0,1.024936E+0,2.754411E-4,2.000000E+0
3.010000E+0,2.981103E+3,4.529826E+0,1.021312E+0,3.737599E-4,2.000000E+0
2.980000E+0,2.991358E+3,7.620091E+0,1.020622E+0,4.086928E-4,2.000000E+0
2.950000E+0,2.968055E+3,8.435885E+0,1.021474E+0,3.065872E-4,2.000000E+0
2.920000E+0,2.760602E+3,1.571362E+1,1.028770E+0,9.187047E-4,2.000000E+0
2.900000E+0,2.518147E+3,1.788746E+1,1.042954E+0,1.553254E-3,2.000000E+0
